Gene stable ID version
ENSVPAG00000005659.1
ENSVPAG00000015423.1
ENSVPAG00000015423.1
ENSVPAG00000015423.1
ENSVPAG00000001968.1
ENSVPAG00000001968.1
ENSVPAG00000001308.1
ENSVPAG00000001562.1
ENSVPAG00000001562.1
ENSVPAG00000006160.1
ENSVPAG00000006160.1
ENSVPAG00000009008.1
ENSVPAG00000006568.1
ENSVPAG00000006568.1
ENSVPAG00000006568.1
ENSVPAG00000002073.1
ENSVPAG00000012383.1
ENSVPAG00000012292.1
ENSVPAG00000008519.1
ENSVPAG00000005598.1
ENSVPAG00000002912.1
ENSVPAG00000009944.1
ENSVPAG00000010953.1
ENSVPAG00000010953.1
ENSVPAG00000010953.1
ENSVPAG00000010212.1
ENSVPAG00000009513.1
ENSVPAG00000009513.1
ENSVPAG00000008680.1
ENSVPAG00000009702.1
ENSVPAG00000009702.1
ENSVPAG00000011451.1
ENSVPAG00000011451.1
ENSVPAG00000011451.1
ENSVPAG00000003101.1
ENSVPAG00000003101.1
ENSVPAG00000003030.1
ENSVPAG00000002522.1
